Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
FLR,Fluor Corporation,Industrial Goods,Heavy Construction,USA,10.11,15.78,63.61,-0.0168,1670724
FLS,Flowserve Corp.,Industrial Goods,Diversified Machinery,USA,9.01,18.27,66.05,-0.0012,1351063
FMC,FMC Corp.,Basic Materials,Chemicals - Major Diversified,USA,7.55,17.26,56.32,-0.0053,1061048
FOSL,"Fossil Group, Inc.",Consumer Goods,"Recreational Goods, Other",USA,5.53,15.81,107.42,-0.0083,903806
FOXA,"Twenty-First Century Fox, Inc.",Services,Entertainment - Diversified,USA,74.58,19.4,35.34,0.0066,7704112
FSLR,"First Solar, Inc.",Technology,Semiconductor - Specialized,USA,4.86,18.23,47.95,-0.0111,2496803
FTI,"FMC Technologies, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,12.7,18.22,54.59,0.0052,2090757
FTR,Frontier Communications Corporation,Technology,Telecom Services - Domestic,USA,6.82,37.83,6.83,0.0029,5335682
GAS,AGL Resources Inc.,Utilities,Gas Utilities,USA,6.15,12.37,52.23,0.0152,1291394
GCI,"Gannett Co., Inc.",Services,Publishing - Newspapers,USA,7.01,15.15,30.91,-0.0045,919008
GD,General Dynamics Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,47.28,19.2,142.05,-0.0043,1296973
GE,General Electric Company,Industrial Goods,Diversified Machinery,USA,265.72,17.88,26.61,0.0057,24471392
GGP,"General Growth Properties, Inc",Financial,REIT - Retail,USA,22.6,98.31,25.85,0.0113,2678908
GILD,Gilead Sciences Inc.,Healthcare,Biotechnology,USA,153.97,18.06,100.44,-0.0159,16948500
GIS,"General Mills, Inc.",Consumer Goods,Processed & Packaged Goods,USA,30.68,18.96,51.35,0.0104,2181534
GLW,Corning Inc.,Technology,Diversified Electronics,USA,26.16,15.82,20.36,-0.0024,4035388
GM,General Motors Company,Consumer Goods,Auto Manufacturers - Major,USA,51.08,20.25,32.31,0.0164,11728054
GMCR,"Keurig Green Mountain, Inc.",Consumer Goods,Processed & Packaged Goods,USA,25.06,41.58,154.5,0.0015,1228798
GME,GameStop Corp.,Services,Electronics Stores,USA,5,13.58,44.1,-0.0068,1960022
GNW,"Genworth Financial, Inc.",Financial,Life Insurance,USA,4.67,0,9.33,-0.0085,7988196
GOOG,Google Inc.,Technology,Internet Information Providers,USA,369.3,28.65,536.51,-0.0145,1717716
GOOGL,Google Inc.,Technology,Internet Information Providers,USA,372.96,28.14,546.64,-0.0154,1667004
GPC,Genuine Parts Company,Services,"Specialty Retail, Other",USA,15.24,22.15,99.92,0.0024,345126
GPS,"The Gap, Inc.",Services,Apparel Stores,USA,17.18,14.53,39.27,-0.0061,3083173
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,Cayman Islands,10.7,34.75,55.81,-0.0025,993968
GS,"The Goldman Sachs Group, Inc.",Financial,Investment Brokerage - National,USA,82.75,10.99,189.93,-0.0003,1579718
GT,The Goodyear Tire & Rubber Company,Consumer Goods,Rubber & Plastics,USA,7.03,13.34,25.34,-0.0109,3815906
GWW,"W.W. Grainger, Inc.",Services,Industrial Equipment Wholesale,USA,16.79,21.36,244.44,-0.0074,283093
HAL,Halliburton Company,Basic Materials,Oil & Gas Equipment & Services,USA,46.68,14.2,49.23,-0.1062,80040488
HAR,"Harman International Industries, Incorporated",Consumer Goods,Electronic Equipment,USA,7.31,27.49,106.88,0.0020,485683
HAS,Hasbro Inc.,Consumer Goods,Toys & Games,USA,6.79,18.89,56.37,0.0435,2089218
HBAN,Huntington Bancshares Incorporated,Financial,Regional - Midwest Banks,USA,8.23,14.23,10.09,-0.0010,9446379
HCBK,"Hudson City Bancorp, Inc.",Financial,Savings & Loans,USA,5.19,29.76,9.68,-0.0143,3466130
HCN,"Health Care REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,23.32,93.64,72.17,0.0141,1639812
HCP,"HCP, Inc.",Financial,REIT - Healthcare Facilities,USA,20.01,21.47,44.17,0.0135,2089794
HD,"The Home Depot, Inc.",Services,Home Improvement Stores,USA,132.22,23.39,98.03,-0.0021,8565629
HES,Hess Corporation,Basic Materials,Independent Oil & Gas,USA,24.82,10.4,81.24,-0.0216,3729040
HIG,"The Hartford Financial Services Group, Inc.",Financial,Property & Casualty Insurance,USA,17.22,13.9,40.08,0.0045,2431034
HOG,"Harley-Davidson, Inc.",Consumer Goods,Recreational Vehicles,USA,14.66,17.77,68.64,0.0035,1098711
HON,Honeywell International Inc.,Industrial Goods,Diversified Machinery,USA,75.77,18.3,96.53,-0.0027,1736919
HOT,Starwood Hotels & Resorts Worldwide Inc.,Services,Lodging,USA,14.02,28.34,76.85,-0.0210,2905122
HP,"Helmerich & Payne, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,8.55,12.36,78.25,-0.0096,3427638
HPQ,Hewlett-Packard Company,Technology,Diversified Computer Systems,USA,68.9,13.93,37.41,0.0133,7958976
HRB,"H&R Block, Inc.",Services,Personal Services,USA,8.95,17.98,32.41,-0.0040,1104302
HRL,Hormel Foods Corporation,Consumer Goods,Meat Products,USA,14.36,25,55.11,0.0112,1001133
HRS,Harris Corporation,Technology,Communication Equipment,USA,7.39,14.15,70.38,-0.0034,509597
HSP,Hospira Inc.,Healthcare,Drugs - Generic,USA,9.86,29.89,58.4,0.0021,716263
